year,OIL,YEMU,CPEMU,SEMU,YUS,CPUS,SUS
1970:01:00,0.162428797,0.48791838,0.207076292,9.143985006,0.419149354,0.267334649,8.52
1970:02:00,0.162428797,0.498571924,0.209769981,9.168653237,0.42001902,0.270279517,7.89
1970:03:00,0.162428797,0.504177735,0.212229409,8.884121253,0.423697533,0.272933199,7.68
1970:04:00,0.162428797,0.511022447,0.214468951,8.413420396,0.419149354,0.276586622,6.17
1971:01:00,0.185150889,0.508898673,0.21820251,7.217834871,0.430854756,0.279210214,4.44
1971:02:00,0.226483327,0.516228307,0.221276757,6.728124585,0.433216977,0.282370561,4.94
1971:03:00,0.229175482,0.522371217,0.224117944,7.079955592,0.436542906,0.285168865,5.71
1971:04:00,0.227844848,0.526773388,0.226984281,6.693976599,0.437635879,0.286971311,4.93
1972:01:00,0.243226831,0.533906333,0.231124626,5.741619607,0.446226872,0.290029742,3.88
1972:02:00,0.2452234,0.538687348,0.234015619,5.515290946,0.45643972,0.291820541,4.55
1972:03:00,0.244558701,0.546109649,0.237589961,5.448879697,0.460964394,0.294375219,4.93
1972:04:00,0.244558701,0.555329332,0.242027905,7.047031036,0.468979531,0.296807599,5.3
1973:01:00,0.255916658,0.564299697,0.246255632,7.618434871,0.480943474,0.300493052,6.4
1973:02:00,0.275958949,0.57198873,0.251574532,9.008766644,0.485761935,0.306330375,7.67
1973:03:00,0.302675415,0.578966918,0.255889653,10.74231856,0.483846317,0.311865835,10.35
1973:04:00,0.305331741,0.586191364,0.263043439,11.12251033,0.487853897,0.3182205,9.24
1974:01:00,1.14645192,0.590424324,0.270325679,11.10636847,0.484116599,0.327663685,8.64
1974:02:00,0.948522249,0.592776306,0.27835468,11.77158609,0.485421127,0.336764241,10.94
1974:03:00,0.865091362,0.59443293,0.284708351,12.90022208,0.480026787,0.345576522,12.03
1974:04:00,0.88584036,0.586903906,0.293241219,12.17528839,0.477382497,0.354216032,9.37
1975:01:00,0.882553928,0.582297326,0.298913162,9.897378078,0.471271249,0.360722114,6.69
1975:02:00,0.878559555,0.582637302,0.30510367,7.950793632,0.475408094,0.365036531,5.96
1975:03:00,0.88322604,0.586956463,0.310623412,7.452885375,0.483658267,0.371680441,6.82
1975:04:00,0.888563403,0.595405431,0.316720955,7.228745846,0.489746045,0.377772067,6.28
1976:01:00,0.982812333,0.604652036,0.322932215,7.493433865,0.501369158,0.381796268,5.22
